Z,dT,I,time
-0.006789705559196132,0.02540731430053711,0.0,1749983803.2079494
-0.006715043543151113,0.016957998275756836,0.0,1749983803.2338595
-0.0065612818372761065,0.020592212677001953,0.0,1749983803.257542
-0.006466099904609111,0.034392595291137695,0.0,1749983803.2838972
-0.006195601091856457,0.02021932601928711,0.0,1749983803.3063245
-0.006120473948914315,0.026277542114257812,0.0,1749983803.3302073
-0.00611215079454685,0.013743877410888672,0.0,1749983803.3545015
-0.005966521889230013,0.02906346321105957,0.0,1749983803.3769221
-0.006132107581872328,0.028848648071289062,0.0,1749983803.3972244
-0.006123760846833791,0.02079010009765625,0.0,1749983803.4201646
-0.005891281140225772,0.009551525115966797,0.0,1749983803.4408464
-0.005891281140225772,0.02277994155883789,0.0,1749983803.4647748
-0.005902704048166963,0.018581867218017578,0.0,1749983803.4865646
-0.005756703273561656,0.014159917831420898,0.0,1749983803.5094516
-0.0057679355546528584,0.015857219696044922,0.0,1749983803.5307913
-0.0057679355546528584,0.013978719711303711,0.0,1749983803.5530026
-0.005681282294341212,0.014149904251098633,0.0,1749983803.5746381
-0.005681282294341212,0.014149904251098633,0.0,1749983803.5971415
-0.005681282294341212,0.026044607162475586,0.0,1749983803.6188712
-0.005692517175595517,0.014132022857666016,0.0,1749983803.6405668
-0.005692517175595517,0.014051437377929688,0.0,1749983803.6630797
-0.00553795548740681,0.014541387557983398,0.0,1749983803.685969
-0.005703751180485094,0.014904260635375977,0.0,1749983803.7071917
-0.005703751180485094,0.019202470779418945,0.0,1749983803.730725
-0.005782078558757521,0.013500213623046875,0.0,1749983803.7522576
-0.005782078558757521,0.013671636581420898,0.0,1749983803.77409
-0.005782078558757521,0.013671636581420898,0.0,1749983803.7957828
-0.005948386788560056,0.01915287971496582,0.0,1749983803.8177538
-0.006086761736426615,0.013336658477783203,0.0,1749983803.839456
-0.006086761736426615,0.016904354095458984,0.0,1749983803.861536
-0.005959805250549703,0.015723705291748047,0.0,1749983803.883382
-0.0060379723310160244,0.012781620025634766,0.0,1749983803.9060698
-0.006029500537847515,0.013865232467651367,0.0,1749983803.9275556
-0.006029500537847515,0.013865232467651367,0.0,1749983803.9491434
-0.006040867589489891,0.022969484329223633,0.0,1749983803.9711926
-0.006040867589489891,0.02767157554626465,0.0,1749983803.9929025
-0.006187984846709188,0.015022516250610352,0.0,1749983804.0142965
-0.00634683155990568,0.01369786262512207,0.0,1749983804.0359936
-0.006260341950274589,0.022737741470336914,0.0,1749983804.0585415
-0.0062518888561235286,0.015789508819580078,0.0,1749983804.0799015
-0.006263612074790195,0.012840509414672852,0.0,1749983804.102527
-0.005821236616894985,0.014399051666259766,0.0,1749983804.124171
-0.005587423479244846,0.013934612274169922,0.0,1749983804.1467767
-0.005356168263577588,0.014691829681396484,0.0,1749983804.168084
-0.005208521679448725,0.014133453369140625,0.0,1749983804.1899166
-0.005122295097063722,0.014699935913085938,0.0,1749983804.2119045
-0.004827003977127658,0.0214388370513916,0.0,1749983804.2327888
-0.004664779077686422,0.014517545700073242,0.0,1749983804.2560844
-0.004509053167799572,0.014898300170898438,0.0,1749983804.2787578
-0.0041273321833790975,0.018278121948242188,0.0,1749983804.3009105
-0.00341041716370309,0.017604827880859375,0.0,1749983804.322828
-0.00341041716370309,0.014278173446655273,0.0,1749983804.3449967
-0.0027788446135268274,0.015131950378417969,0.0,1749983804.3670466
-0.0023277254815577565,0.014389276504516602,0.0,1749983804.3886087
-0.0018595014237413488,0.018410444259643555,0.0,1749983804.4103746
-0.0017748417001764091,0.01299905776977539,0.0,1749983804.4330301
-0.0009937529940305407,0.014685392379760742,0.0,1749983804.4547029
-0.000845367518203256,0.013653278350830078,0.0,1749983804.4768145
-0.0003775912531815105,0.014717340469360352,0.0,1749983804.4998858
-0.0002975714722777325,0.025093555450439453,0.0,1749983804.521386
-0.00014319139535298037,0.013901710510253906,0.0,1749983804.542853
-0.00014982139756307064,0.014885425567626953,0.0,1749983804.5655525
-6.39645498744304e-05,0.01431727409362793,0.0,1749983804.586973
-5.822131708933288e-05,0.013882160186767578,0.0,1749983804.6084726
-6.484041068727589e-05,0.02442145347595215,0.0,1749983804.6303034
-6.484041068727589e-05,0.02442145347595215,0.0,1749983804.6518872
8.337803205394831e-05,0.03240346908569336,0.0,1749983804.673814
8.337803205394831e-05,0.015138626098632812,0.0,1749983804.695488
8.337803205394831e-05,0.017589330673217773,0.0,1749983804.7175775
-0.0015736495536875957,0.013952255249023438,0.0,1749983804.7400577
0.00016903556121257608,0.013852596282958984,0.0,1749983804.7616985
